genre,company,year,title,count
f1,Animation,Pixar Animation Studios,1995,Toy Story,5415
f2,Family,TriStar Pictures,1995,Jumanji,2413
f3,Comedy,Warner Bros.,1995,Grumpier Old Men,92
f4,Romance,Twentieth Century Fox Film Corporation,1995,Waiting to Exhale,34
f5,Comedy,Touchstone Pictures,1995,Father of the Bride Part II,173
f6,Thriller,Forward Pass,1995,Heat,1886
f7,Comedy,Mont Blanc Entertainment GmbH,1995,Sabrina,141
f8,Action,Walt Disney Pictures,1995,Tom and Huck,45
f9,Action,Signature Entertainment,1995,Sudden Death,174
f10,Thriller,United Artists,1995,GoldenEye,1194
f11,Romance,Castle Rock Entertainment,1995,The American President,199
f12,Comedy,Enigma Pictures,1995,Dracula: Dead and Loving It,210
f13,Family,Universal Pictures,1995,Balto,423
f14,Drama,Hollywood Pictures,1995,Nixon,72
f15,Action,Metro-Goldwyn-Mayer (MGM),1995,Cutthroat Island,137
f16,Crime,De Fina-Cappa,1995,Casino,1343
f17,Drama,Mirage Enterprises,1995,Sense and Sensibility,364
f18,Comedy,Miramax Films,1995,Four Rooms,539
f19,Crime,O Entertainment,1995,Ace Ventura: When Nature Calls,1128
f20,Crime,Columbia Pictures,1995,Money Train,224
f21,Comedy,Metro-Goldwyn-Mayer (MGM),1995,Get Shorty,305
f22,Drama,New Regency Pictures,1995,Copycat,199
f23,Thriller,Donner/Shuler-Donner Productions,1995,Assassins,394
f24,Fantasy,Caravan Pictures,1995,Powder,143
f25,Drama,United Artists,1995,Leaving Las Vegas,365
f26,Drama,Columbia Pictures,1995,Othello,33
f27,Drama,New Line Cinema,1995,Now and Then,91
f28,Drama,BBC Films,1995,Persuasion,36
f29,Science Fiction,Televisión Española (TVE),1995,The City of Lost Children,308
f30,Drama,Alpha Films,1995,Shanghai Triad,17
f31,Crime,Via Rosa Productions,1995,Dangerous Minds,249
f32,Mystery,Classico,1995,Twelve Monkeys,2470
f33,Adventure,Iwerks Entertainment,1996,Wings of Courage,4
f34,Comedy,Universal Pictures,1995,Babe,756
f35,Drama,European Co-production Fund,1995,Carrington,16
f36,Drama,PolyGram Filmed Entertainment,1995,Dead Man Walking,350
f37,Adventure,Sony New Technologies,1995,Across the Sea of Time,2
f38,Romance,Orr & Cruickshank,1995,It Takes Two,149
f39,Romance,Paramount Pictures,1995,Clueless,828
f40,Drama,Miramax,1995,Cry the Beloved Country,13
f41,Drama,Mayfair Entertainment International,1995,Richard III,50
f42,Crime,Caravan Pictures,1995,Dead Presidents,80
f43,Drama,Miramax Films,1995,Restoration,30
f44,Action,New Line Cinema,1995,Mortal Kombat,452
f45,Fantasy,Columbia Pictures Corporation,1995,To Die For,177
f46,Drama,Amblin Entertainment,1995,How To Make An American Quilt,38
f47,Crime,New Line Cinema,1995,Se7en,5915
