genres,companies,year,title,count
f1,Animation~Comedy~Family,Pixar Animation Studios,1995,Toy Story,5415
f2,Adventure~Fantasy~Family,TriStar Pictures~Teitler Film~Interscope Communications,1995,Jumanji,2413
f3,Romance~Comedy,Warner Bros.~Lancaster Gate,1995,Grumpier Old Men,92
f4,Comedy~Drama~Romance,Twentieth Century Fox Film Corporation,1995,Waiting to Exhale,34
f45235,Drama~Romance,,1973,Schoolgirl Report Part 5: What All Parents Should Know,6
f45236,Comedy~Drama,Rapid Film,1972,Schoolgirl Report Part 4: What Drives Parents to Despair,4
f45237,Drama,Rapid Film,1971,Schoolgirl Report Part 2: What Keeps Parents Awake at Night,5
f45238,Comedy~Drama,Rapid Film,1972,Schoolgirl Report Part 3: What Parents Find Unthinkable,6
f45239,Adventure~Family,,1969,Pippi Longstocking,29
f45240,Drama,Princes Films,2014,Geronimo,9
f45241,Comedy,,2004,Villa Henriette,0
f45242,Comedy~Drama~Action,Kavithalayaa Productions,1995,Muthu,10
f45243,Action,Sathya Movies,1995,Baasha,14
f45244,Drama~Foreign,,1999,Padayappa,13
f45245,Action~Comedy~Drama,AVM Productions,2007,Sivaji: The Boss,25
f45246,Comedy,Österreichischer Rundfunk (ORF),1961,Der Herr Karl,1
f45247,Action~Thriller,Ingenious Media~Brookstreet Pictures~The Fyzz Facility~Emmett Furla Oasis Films (EFO Films)~River Bay Films~Kirk Shaw Productions~Aboretum Productions,2017,First Kill,38
f45248,Drama~Thriller,,2012,Quiz,11
f45249,Animation~Comedy~Family,Universal Pictures~Illumination Entertainment,2010,Minions: Orientation Day,95
f45250,Documentary,Magnolia Pictures,2016,Burden,1
f45251,Documentary,National Geographic,2017,LA 92,3
f45252,Drama,Sonet Film AB,2010,A Thousand Times Stronger,5
f45253,TV Movie~Family~Action~Comedy~Music~Adventure,Walt Disney Television,2017,Descendants 2,171
f45254,Fantasy,Star Film Company,1898,The Astronomer's Dream,26
f45255,Comedy~Foreign,,1988,Faithfully Yours,2
f45256,Documentary,,2016,Harry Benson: Shoot First,6
f45257,Fantasy,Star Film Company,1898,The Temptation of St. Anthony,6
f45258,Comedy,Star Film Company,1899,An Up-to-Date Conjurer,12
f45259,Drama~Thriller,,2010,Walking Too Fast,5
f45260,Comedy~Drama,Motlys~Coproduction Office~Film i Väst,2014,Force Majeure,255
f45261,Comedy,,2016,Down Under,9
f45262,Documentary~TV Movie,,2017,Ivanka Trump- America's Real First Lady?,1
f45263,Comedy,Mandarin Cinéma,2016,Good Guys Go to Heaven Bad Guys Go to Pattaya,153
f45264,Comedy,,2017,Chris Gethard: Career Suicide,4
f45265,Animation,Pixar Animation Studios,2017,Lou,17
f45266,Action~Comedy~Crime,,1988,Final Justice,4
f45267,Animation~Family,,1957,Hemo The Magnificent,1
f45268,Drama,,1956,Tragedy in a Temporary Town,0
f45269,Documentary,,2016,Carole King: Natural Woman,0
f45270,,,1987,Terminus,1
f45271,Horror~Thriller,Reteitalia~Splendida,1988,The Spider Labyrinth,7
f45272,Drama,KGP Kranzelbinder Gabriele Production,2013,Shirley: Visions of Reality,10
f45273,Comedy~Drama,Studio Filmowe Kadr~Polski Instytut Sztuki Filmowej~Kino Świat (koprodukcja)~Agora Films S.A. (koprodukcja)~Opus Film (koprodukcja),2011,Baby sa jakies inne,4
f45274,Drama,Polski Instytut Sztuki Filmowej~Twilight Films~Film Media S.A.,2009,Snow White and Russian Red,9
f45275,Comedy~Documentary,,2006,Hi Way,2
f45276,Drama,Film Polski,1971,Family Life,1
f45277,Drama~Comedy,,1985,The House of Fools,0
f45278,Drama,Film Polski Film Agency~P.P. Film Polski,1973,Illumination,3
f45279,Drama,Zentropa Entertainments,2011,Code Blue,4
f45280,Romance~Drama,Canal+~Apple Film Productions~Topkapi Films,2014,Nude Area,2
f45281,Drama,British Broadcasting Corporation (BBC)~Talkback Thames~BBC America~Fremantle Media~Spotlight Films,2005,Gideon's Daughter,15
f45282,Drama,Next Film,2017,The Art of Loving. Story of Michalina Wislocka,9
f45283,Science Fiction~Comedy~Fantasy,,1988,King Size,8
f45284,Drama~Comedy,Mystery Productions,2010,King's Road,0
f45285,Adventure~Family,Viking Film~Snowcloud Films,2016,Siv Sleeps Astray,0
f45286,Comedy~Drama,Telewizja Polska - Agencja Filmowa,2004,The Wedding,7
f45287,Crime~Comedy,,1971,Hydrozagadka,3
f45288,Comedy~Drama,Balapolis,2015,Baby Bump,3
f45289,Drama,,2007,Les fourmis rouges,1
f45290,Drama,,2007,Time to Die,4
f45291,Documentary~Foreign,,2003,Jesus You Know,3
f45292,Drama,Banana Split Polska,2008,Little Moscow,4
f45293,Comedy,Agencja Produkcji Filmowej~Telewizja Polska~Studio Filmowe Zebra,1996,Nothing Funny,7
f45294,Drama~Foreign,Telewizja Polsat,2003,Insatiability,4
f45295,Science Fiction~Action,Mandarin Films,2008,Possibility of an Island,3
f45296,Drama~Romance,Les Films Hatari,2012,Coming Home,4
f45297,Comedy~Drama,Riva Filmproduktion~Friland AS,2009,Upperdog,5
f45298,Fantasy~Family,,1984,Mister Blot's Academy,5
f45299,Music~Comedy~Documentary,Negativ~Falcon~Cestmír Kopecký~Czech TV Brno,2002,Year of the Devil,6
f45300,Drama,Polski Instytut Sztuki Filmowej~Film Vision Productions,2006,We're All Christs,7
f45301,Comedy,Non-Stop Productions~Polski Instytut Sztuki Filmowej~Krakowskie Biuro Festiwalowe,2014,Pani z przedszkola,0
f45302,Mystery,Zespół Filmowy TOR,2001,Weiser,4
